Date,Indian rupee
29-Jun-01,409.25
31-Jul-01,402.91
31-Aug-01,413.75
28-Sep-01,450.91
31-Oct-01,430.09
30-Nov-01,424.54
31-Dec-01,428.66
31-Jan-02,440.28
28-Feb-02,465.08
29-Mar-02,472.69
30-Apr-02,484.84
31-May-02,514.63
28-Jun-02,500.33
31-Jul-02,476.42
30-Aug-02,487.45
30-Sep-02,503.19
31-Oct-02,492.51
29-Nov-02,495.55
31-Dec-02,535.25
31-Jan-03,564.82
28-Feb-03,532.45
31-Mar-03,510.94
30-Apr-03,512.59
30-May-03,546.34
30-Jun-03,516.94
31-Jul-03,526.27
29-Aug-03,553.56
30-Sep-03,570.83
31-Oct-03,562.80
28-Nov-03,586.19
31-Dec-03,610.59
30-Jan-04,582.14
27-Feb-04,575.70
31-Mar-04,591.48
30-Apr-04,555.46
31-May-04,573.88
30-Jun-04,585.04
30-Jul-04,583.57
31-Aug-04,606.81
30-Sep-04,614.72
29-Oct-04,620.67
30-Nov-04,648.54
31-Dec-04,608.79
31-Jan-05,592.51
28-Feb-05,610.40
31-Mar-05,600.15
29-Apr-05,609.77
31-May-05,582.90
30-Jun-05,611.03
29-Jul-05,599.15
31-Aug-05,614.14
30-Sep-05,668.94
31-Oct-05,682.66
30-Nov-05,731.44
30-Dec-05,742.36
31-Jan-06,806.86
28-Feb-06,793.15
31-Mar-06,833.89
28-Apr-06,929.97
31-May-06,972.04
30-Jun-06,908.11
31-Jul-06,946.81
31-Aug-06,932.84
29-Sep-06,884.81
31-Oct-06,874.08
30-Nov-06,930.06
29-Dec-06,899.33
31-Jan-07,923.61
28-Feb-07,945.47
30-Mar-07,924.75
30-Apr-07,896.54
31-May-07,860.44
29-Jun-07,851.78
31-Jul-07,864.04
31-Aug-07,883.12
28-Sep-07,951.88
31-Oct-07,998.15
30-Nov-07,998.16
31-Dec-07,"1,056.55"
31-Jan-08,"1,168.78"
29-Feb-08,"1,249.85"
31-Mar-08,"1,204.11"
30-Apr-08,"1,134.55"
30-May-08,"1,209.01"
30-Jun-08,"1,286.80"
31-Jul-08,"1,256.58"
29-Aug-08,"1,176.65"
30-Sep-08,"1,335.56"
31-Oct-08,"1,161.79"
28-Nov-08,"1,311.56"
31-Dec-08,"1,362.36"
30-Jan-09,"1,445.02"
27-Feb-09,"1,565.27"
31-Mar-09,"1,494.96"
30-Apr-09,"1,420.85"
29-May-09,"1,477.67"
30-Jun-09,"1,439.30"
31-Jul-09,"1,447.59"
31-Aug-09,"1,499.91"
30-Sep-09,"1,540.04"
30-Oct-09,"1,570.36"
30-Nov-09,"1,758.32"
31-Dec-09,"1,627.05"
29-Jan-10,"1,600.92"
26-Feb-10,"1,642.77"
31-Mar-10,"1,610.12"
30-Apr-10,"1,681.85"
31-May-10,"1,799.98"
30-Jun-10,"1,857.59"
30-Jul-10,"1,744.09"
31-Aug-10,"1,884.41"
30-Sep-10,"1,888.21"
29-Oct-10,"1,923.56"
30-Nov-10,"2,040.99"
31-Dec-10,"2,020.57"
31-Jan-11,"1,958.71"
28-Feb-11,"2,053.43"
31-Mar-11,"2,063.18"
29-Apr-11,"2,182.78"
31-May-11,"2,225.20"
30-Jun-11,"2,163.73"
29-Jul-11,"2,313.68"
31-Aug-11,"2,684.96"
30-Sep-11,"2,550.82"
31-Oct-11,"2,695.93"
30-Nov-11,"2,930.54"
30-Dec-11,"2,613.98"
31-Jan-12,"2,772.42"
29-Feb-12,"2,789.00"
30-Mar-12,"2,723.04"
30-Apr-12,"2,797.78"
31-May-12,"2,812.98"
29-Jun-12,"2,869.52"
31-Jul-12,"2,900.24"
31-Aug-12,"2,948.15"
28-Sep-12,"3,011.72"
31-Oct-12,"2,973.09"
30-Nov-12,"3,018.50"
31-Dec-12,"2,919.75"
31-Jan-13,"2,846.88"
28-Feb-13,"2,778.54"
29-Mar-13,"2,792.77"
30-Apr-13,"2,544.49"
31-May-13,"2,532.46"
28-Jun-13,"2,277.38"
31-Jul-13,"2,569.75"
30-Aug-13,"2,962.72"
30-Sep-13,"2,669.97"
31-Oct-13,"2,615.99"
29-Nov-13,"2,517.40"
31-Dec-13,"2,395.37"
31-Jan-14,"2,520.02"
28-Feb-14,"2,643.32"
31-Mar-14,"2,480.32"
30-Apr-14,"2,498.62"
30-May-14,"2,375.68"
30-Jun-14,"2,542.82"
31-Jul-14,"2,500.89"
29-Aug-14,"2,508.38"
30-Sep-14,"2,415.52"
31-Oct-14,"2,298.29"
28-Nov-14,"2,359.72"
31-Dec-14,"2,447.50"
30-Jan-15,"2,509.48"
27-Feb-15,"2,412.31"
31-Mar-15,"2,388.28"
30-Apr-15,"2,410.13"
29-May-15,"2,446.35"
30-Jun-15,"2,397.46"
31-Jul-15,"2,264.29"
31-Aug-15,"2,425.74"
30-Sep-15,"2,350.96"
30-Oct-15,"2,399.95"
30-Nov-15,"2,275.66"
31-Dec-15,"2,254.59"
29-Jan-16,"2,426.29"
29-Feb-16,"2,716.67"
31-Mar-16,"2,633.70"
29-Apr-16,"2,741.72"
31-May-16,"2,622.09"
30-Jun-16,"2,866.04"
29-Jul-16,"2,890.15"
31-Aug-16,"2,818.99"
30-Sep-16,"2,830.94"
31-Oct-16,"2,731.28"
30-Nov-16,"2,592.62"
30-Dec-16,"2,500.43"
31-Jan-17,"2,645.44"
28-Feb-17,"2,693.33"
31-Mar-17,"2,598.88"
28-Apr-17,"2,619.34"
31-May-17,"2,626.56"
30-Jun-17,"2,581.57"
31-Jul-17,"2,614.33"
31-Aug-17,"2,696.01"
29-Sep-17,"2,694.62"
31-Oct-17,"2,645.01"
30-Nov-17,"2,653.96"
29-Dec-17,"2,649.26"
31-Jan-18,"2,750.50"
28-Feb-18,"2,760.24"
30-Mar-18,"2,776.01"
30-Apr-18,"2,817.79"
31-May-18,"2,832.10"
29-Jun-18,"2,754.50"
31-Jul-18,"2,692.31"
31-Aug-18,"2,741.98"
28-Sep-18,"2,767.01"
31-Oct-18,"2,888.40"
30-Nov-18,"2,728.22"
